rent,size_sqm,district,year,source,price_per_sqm,size_category,rent_category,period
4.3,148.38,Charlottenburg,2025,Immobilienscout24,0.028979646852675563,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
903.0,36.6,Mitte,2025,Immobilienscout24,24.672131147540984,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.473,58.91,Unbekannt,2025,Immobilienscout24,0.025004243761670347,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.297,44.75,Unbekannt,2025,Immobilienscout24,0.028983240223463685,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.3,101.0,Charlottenburg,2025,Immobilienscout24,0.02277227722772277,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.8,79.0,Charlottenburg,2025,Immobilienscout24,0.02278481012658228,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.6,65.5,Charlottenburg,2025,Immobilienscout24,0.024427480916030534,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
4.454,178.08,Kreuzberg,2025,Immobilienscout24,0.02501123090745732,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
690.0,48.0,Unbekannt,2025,Immobilienscout24,14.375,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
750.0,43.0,Reinickendorf,2025,Immobilienscout24,17.441860465116278,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
2.0,126.0,Wilmersdorf,2025,Immobilienscout24,0.015873015873015872,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
599.0,37.57,Unbekannt,2025,Immobilienscout24,15.94357199893532,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
1.139,77.44,Unbekannt,2025,Immobilienscout24,0.014708161157024793,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
787.5,62.95,Reinickendorf,2025,Immobilienscout24,12.5099285146942,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
870.19,68.79,Marzahn,2025,Immobilienscout24,12.649949120511701,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.1,68.0,Unbekannt,2025,Immobilienscout24,0.016176470588235296,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
990.0,35.0,Unbekannt,2025,Immobilienscout24,28.285714285714285,Mittel (30-60 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.474,96.8,Mitte,2025,Immobilienscout24,0.015227272727272728,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
500.0,65.0,Unbekannt,2025,Immobilienscout24,7.6923076923076925,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
413.0,73.0,Marzahn,2025,Immobilienscout24,5.657534246575342,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
990.0,92.0,Tempelhof,2025,Immobilienscout24,10.76086956521739,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.445,89.0,Unbekannt,2025,Immobilienscout24,0.016235955056179776,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
870.0,75.0,Pankow,2025,Immobilienscout24,11.6,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
680.0,65.0,Prenzlauer Berg,2025,Immobilienscout24,10.461538461538462,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
