ID,SORTE,PLZ,KALTMIETE,WARMMIETE,NEBENKOSTEN,KAUTION,HEIZUNGSKOSTEN,ZIMMER,PARKPLAETZE,WOHNFLAECHE,BAUJAHR,ZUSTAND,VERfÜGBAR AB,ENERGIEEFFIZIENSKLASSE,ENERGIEBEDARF/kWh/(m²*a),ENERGIEASUWEIS,Etagenheizung,Zentralheizung,Ofenheizung,offener Kamin,Luft-/Wasser-Wärmepumpe,Gas,Öl,Solar,Strom,Holz,Fernwärme,Erdwärme,Pellets,Kohle,Flüssiggas,KfW 55,Niedrigenergie,KfW 40,KfW 60,KfW 70,Neubaustandard,möbliert,teilweise möbliert,Alarmanlage,Garage,Carport,Tiefgarage,Duplex,Stellplatz,Klimaanlage,Sauna,Schwimmbad,See,Berge,Personenaufzug,Lastenaufzug,Keller,Waschraum,Bibliothek,Terrasse,Balkon,Garten,Einbauküche,Dusche,Badewanne,Bad mit Fenster,Gäste-WC,Fliesen,Parkett,Holz/Dielen,Laminat,Teppich,PVC/Linoleum,Stein,Marmor,Doppelboden,Terracotta,Sonstiges
25NMR59,Etagenwohnung,12526,949.0,1199.0,125.0,2372.5,125.0,2.0,,49.0,2011.0,Neuwertig,sofort,Klasse B,300.6,VERBRAUCHSAUSWEIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0
47881449,Etagenwohnung,12526,949.0,1199.0,125.0,,125.0,2.0,,49.0,2011.0,Neuwertig,sofort,Klasse B,72.0,VERBRAUCHSAUSWEIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48103673,Wohnung,12526,1092.45,1312.45,150.0,,70.0,3.0,,72.83,2022.0,Neubau,sofort,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,,,,,,,,,,,
47506584,Apartment,10437,2000.0,2250.0,180.0,4500.0,70.0,3.0,,75.0,1900.0,renoviert,2022-09-01 00:00:00,,,NICHT NÖTIG,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,
47696961,Apartment,10437,1950.0,2120.0,170.0,5850.0,,3.0,,92.0,1912.0,saniert,sofort,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,
48197256,Dachgeschosswohnung,10437,,1500.0,,4500.0,,3.0,,89.0,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,0.0,,,,,1.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,
48265880,Etagenwohnung,10437,805.0,1070.0,95.0,2415.0,170.0,2.0,,66.59,1900.0,renoviert,2022-09-01 00:00:00,Klasse E,131.0,BEDARFSAUSWEIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,,,,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48266096,Apartment,10437,1450.0,1700.0,250.0,1450.0,,3.0,2.0,80.0,,renoviert,2022-09-05 00:00:00,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,0.0,,,,,,0.0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
48577947,Wohnung,10437,2311.45,2816.15,288.8,6934.35,215.9,3.0,,80.0,,,2022-10-10 00:00:00,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47930926,Apartment,14059,1672.0,1841.0,169.0,5016.0,,2.0,,76.0,2019.0,Neubau,2022-11-01 00:00:00,Klasse E,134.4,VERBRAUCHSAUSWEIS,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,0.0,,,,,,0.0,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,
47391058,Wohnung,13629,1240.0,1390.0,150.0,3720.0,,3.5,,99.0,1994.0,renoviert,2022-06-01 00:00:00,,,NICHT NÖTIG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,
47997270,Etagenwohnung,13629,489.64,659.64,90.0,,80.0,2.0,,53.76,1930.0,,sofort,Klasse E,152.3,VERBRAUCHSAUSWEIS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,,,,,,,,,,
47997121,Etagenwohnung,13629,493.7,753.7,180.0,,80.0,2.0,,60.94,1930.0,,sofort,Klasse E,152.3,VERBRAUCHSAUSWEIS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,,,,,,,,,,
48137759,Erdgeschosswohnung,13629,491.75,650.75,113.0,1475.25,46.0,2.0,,51.6,1935.0,,2022-08-29 00:00:00,Klasse E,147.0,BEDARFSAUSWEIS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,,,,,,,,,,
48420807,Etagenwohnung,13629,550.46,747.46,141.0,1651.38,56.0,2.5,,62.34,1935.0,,2022-10-17 00:00:00,Klasse E,146.0,BEDARFSAUSWEIS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,,,,,,,,,,
48603359,Etagenwohnung,13629,479.11,811.39,208.64,,123.64,2.0,,70.25,1976.0,,sofort,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,
48603364,Etagenwohnung,13629,519.68,694.74,107.18,,67.88,1.0,,32.48,1977.0,,sofort,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,1.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
47737789,Apartment,13597,,550.0,,1650.0,,1.0,,19.02,1953.0,,,Klasse C,109.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47788087,Dachgeschosswohnung,13597,710.0,1000.0,290.0,2130.0,,3.0,,61.86,,Altbau,sofort,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48232560,Apartment,13597,,550.0,,1650.0,,1.0,,19.02,1953.0,,nach Vereinbarung,,86.0,VERBRAUCHSAUSWEIS,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48897912,Apartment,13597,,550.0,,1650.0,,1.0,,19.02,1953.0,,2022-11-15 00:00:00,Klasse C,109.0,VERBRAUCHSAUSWEIS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47679932,Etagenwohnung,10785,1700.0,1878.0,104.0,5100.0,,2.0,,63.21,2022.0,Neubau,2022-06-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
2673F56,,10785,2222.0,2472.0,90.0,6666.0,160.0,3.0,1.0,82.32,2022.0,,2022-07-01 00:00:00,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
