price,size,district,year,dataset,rooms
1855.0,151.58,Charlottenburg,2019,historical,3.0
663.0,56.11,Wedding,2019,historical,2.0
1455.0,103.99,Lichterfelde_Steglitz,2019,historical,4.0
529.0,56.0,Köpenick,2019,historical,2.0
882.0,88.2,Tiergarten,2019,historical,3.0
699.0,78.5,Hellersdorf,2019,historical,3.0
1490.0,87.0,Wilmersdorf,2019,historical,2.0
1250.0,52.0,Friedrichshain,2019,historical,2.0
800.0,35.0,Tempelhof,2019,historical,1.0
1590.0,76.31,Lichterfelde_Steglitz,2019,historical,3.0
765.0,54.0,Tiergarten,2019,historical,2.0
749.0,38.0,Charlottenburg,2019,historical,1.0
1200.0,65.5,Wilmersdorf,2019,historical,2.0
1641.0,93.0,Treptow,2019,historical,3.0
660.0,10.0,Tiergarten,2019,historical,1.0
1106.0,69.1,Charlottenburg,2019,historical,2.0
920.0,79.42,Biesdorf_Marzahn,2019,historical,4.0
1075.0,71.67,Friedrichshain,2019,historical,2.0
1150.0,75.6,Friedrichshain,2019,historical,2.0
1592.0,99.5,Mitte,2019,historical,3.0
659.0,69.0,Neukölln,2019,historical,3.0
699.0,73.0,Neukölln,2019,historical,3.0
445.0,45.74,Adlershof_Treptow,2019,historical,2.0
870.0,65.0,Mitte,2019,historical,2.0
1799.0,95.8,Mitte,2019,historical,4.0
862.25,63.87,Spandau,2019,historical,2.0
1515.6,126.3,Steglitz,2019,historical,3.5
1600.0,87.0,Friedrichshain,2019,historical,2.0
975.0,93.7,Steglitz,2019,historical,3.0
1227.0,93.85,Marienfelde_Tempelhof,2019,historical,3.0
477.07,69.14,Hellersdorf,2019,historical,3.0
838.0,49.31,Wedding,2019,historical,2.0
2689.41,128.68,Schöneberg,2019,historical,4.0
770.0,85.0,Köpenick,2019,historical,4.0
1237.12,109.48,Friedrichshagen_Köpenick,2019,historical,4.0
1100.0,94.13,Wilmersdorf,2019,historical,4.0
650.0,39.45,Pankow,2019,historical,1.0
869.0,80.77,Hellersdorf,2019,historical,3.0
1024.7,102.47,Niederschönhausen_Pankow,2019,historical,3.0
512.0,39.41,Charlottenburg,2019,historical,1.0
1150.0,93.7,Mahlsdorf_Hellersdorf,2019,historical,2.0
1040.8,65.4,Neukölln,2019,historical,2.0
2290.0,181.22,Lichterfelde_Steglitz,2019,historical,4.0
1730.0,102.0,Tiergarten,2019,historical,4.0
1573.9,83.03,Dahlem_Zehlendorf,2019,historical,2.0
1480.0,55.0,Mitte,2019,historical,2.0
850.0,35.0,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,1.0
644.22,71.58,Staaken_Spandau,2019,historical,2.0
1685.0,105.0,Weißensee,2019,historical,4.0
329.0,33.0,Waidmannslust_Reinickendorf,2019,historical,1.0
1159.0,69.17,Charlottenburg,2019,historical,2.0
990.0,35.45,Mitte,2019,historical,1.0
800.0,93.0,Lichterfelde_Steglitz,2019,historical,3.0
830.0,90.13,Köpenick,2019,historical,3.0
1131.0,47.13,Kreuzberg,2019,historical,2.0
645.0,46.0,Schmargendorf_Wilmersdorf,2019,historical,1.5
505.0,40.07,Wilmersdorf,2019,historical,1.0
810.0,73.05,Köpenick,2019,historical,2.0
838.0,43.1,Tiergarten,2019,historical,1.0
1440.0,142.0,Lichtenrade_Tempelhof,2019,historical,5.5
603.28,64.66,Pankow,2019,historical,2.0
597.0,47.79,Friedrichshagen_Köpenick,2019,historical,2.0
1450.0,80.0,Charlottenburg,2019,historical,2.0
8700.0,274.0,Charlottenburg,2019,historical,5.0
1230.0,88.0,Wilmersdorf,2019,historical,3.0
1503.07,84.68,Tiergarten,2019,historical,3.0
1168.7,86.57,Grünau_Köpenick,2019,historical,3.0
1175.0,75.0,Mitte,2019,historical,3.0
2000.0,114.0,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,4.0
1506.47,114.3,Wilmersdorf,2019,historical,5.0
1468.48,112.96,Steglitz,2019,historical,4.0
550.0,55.0,Hermsdorf_Reinickendorf,2019,historical,2.0
1931.8,104.14,Tiergarten,2019,historical,4.0
1785.0,119.0,Charlottenburg,2019,historical,4.0
688.02,74.38,Müggelheim_Köpenick,2019,historical,3.0
