title,price,size,address,link,is_split_from_multi,original_multi_count
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 39/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 40/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 41/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 42/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 43/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 44/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 45/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 46/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 47/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 48/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 49/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 50/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 51/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 52/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 53/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 54/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
Halske Gärten: Lichtdurchflutetes Wohnen in ruhiger und grüner Lage (Unit 55/55),1740.0,97.0,"Elsa-Neumann-Straße 1, 13629 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/engel-voelkers-berlin-mitte-mmc/halske-gaerten/139080.html,True,55.0
All-Inclusive! Hochwertige 2-Zimmerwohnung im 8. OG am Potsdamer Platz mit Traumblick,1.89,44.0,"Tiergarten, Berlin",https://www.immobilienscout24.de/expose/159418047,,
All-inklusive-Miete ! Hochwertige 2-Zimerwohnung mit Balkon Nähe Naturkundemuseum in Mitte,1.8,53.0,"Chausseestraße 108, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/157048281,,
Helle und großzügig geschnittene Dachgeschosswohnung,2.058,147.0,"Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/159898900,,
Geräumige 3-Zimmer-Wohnung mit Südbalkon und Einbauküche zum Erstbezug!,1.385,89.0,"Seegefelder Weg 466, Staaken, Berlin",https://www.immobilienscout24.de/expose/155502520,,
Home & Co – Easy Living | Möbliertes All-Inclusive Wohnen,829.0,31.0,"Breite Straße 42 A-B, Schmargendorf, Berlin",https://www.immobilienscout24.de/expose/142518387,,
Neubau Erstbezug * 3 Zimmer Wohnung im 5.OG * Gäste-WC * Balkon * TG Stellplatz,2410.42,79.51,"Pufendorfstraße 3A-3E, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/158484560,,
STACEY | Apartments Mitte (www.stacey.de),995.0,51.0,"Fischerinsel 13-15, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/139440647,,
Home & Co – Easy Living | Fully Furnished All-Inclusive Apartment,649.0,17.0,"Breite Straße 42 B, Schmargendorf, Berlin",https://www.immobilienscout24.de/expose/121008146,,
Ein Zuhause voller Vorzüge im Grünen! (Unit 1/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 2/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 3/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
